study_id,year,tier,platform_stack,domain,metrics_reported,throughput,latency,fault_tolerance,privacy_overhead,evaluation_setup,workload_description,has_throughput,has_latency,has_fault_tolerance
ST-0001,2026,C,not specified,unclassified,,,,,,,,no,no,no
ST-0002,2026,B,Hyperledger Fabric; Polkadot/Substrate; Bitcoin,finance/banking; supply chain; government/public sector; identity/PKI; education,latency; fault_tolerance,,100 ms; 500 ms; 100 ms,es. We assume adversaries can compromise up to 33% of validator nodes (standard Byzantine threshold). Compromised servers can inspect submitted data but cannot directly,,simulation; prototype; Raspberry Pi / edge hardware; formal verification,,no,yes,yes
ST-0003,2026,C,not specified,supply chain; energy/utilities; identity; education,,,,,,,,no,no,no
ST-0004,2026,B,Hyperledger Fabric,healthcare; finance/banking; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility,throughput; latency; fault_tolerance,,180 ms,ledger that is run in surface gateways and  a few validators through Practical Byzantine Fault Tolerance (PBFT). Due to the nature of  consortium consensus which contro,,simulation; prototype,,no,yes,yes
ST-0005,2026,C,not specified,supply chain,,,,,,,,no,no,no
ST-0006,2025,B,Hyperledger Fabric; Bitcoin,healthcare; supply chain; energy/utilities; identity/PKI; education,throughput; latency,,,,,Hyperledger Caliper; Docker/Kubernetes,custom benchmark,no,no,no
ST-0007,2025,B,Hyperledger Fabric; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI,throughput; latency; fault_tolerance,,,"ed nodes within the network. Examples of such methods include PoS and Practical Byzantine Fault Tolerance (PBFT). With these methods, consensus is typically achieved by",,simulation; prototype; Docker/Kubernetes,,no,no,yes
ST-0008,2025,C,Cosmos,unclassified,,,,,,,,no,no,no
ST-0009,2025,C,not specified,unclassified,,,,,,,,no,no,no
ST-0010,2025,B,not specified,supply chain,,,,,,,,no,no,no
ST-0011,2025,B,Hyperledger Fabric; Hyperledger Besu; Ethereum,finance/banking; supply chain; government/public sector; identity/PKI; IoT/edge/CPS; education; transportation/mobility,throughput; latency,50; 30; 27.8 TPS,60 ms; 100 ms; 580 ms,,,Hyperledger Caliper; simulation; Docker/Kubernetes,custom benchmark,yes,yes,no
ST-0012,2025,C,Hyperledger Fabric,IoT/edge,,,,,,,,no,no,no
ST-0013,2024,C,not specified,unclassified,,,,,,,,no,no,no
ST-0014,2024,D,not specified,unclassified,,,,,,,,no,no,no
ST-0015,2024,C,not specified,unclassified,,,,,,,,no,no,no
ST-0016,2024,C,Hyperledger Fabric,IoT/edge,,,,,,,,no,no,no
ST-0017,2024,C,not specified,government/public sector; IoT/edge,,,,,,,,no,no,no
