stratum,candidate_id,title,year,venue,source,doi,url,agent_decision,agent_reason_code,agent_reason_detail,tier,total_score,human_decision,human_notes
include_tier_A,FT-0083,Experimental Possibilities of Decentralized Health Information System Interoperability Using Blockchain Technology,2024,2024 International Conference on Sustainable Communication Networks and Application (ICSCNA),ieee,10.1109/ICSCNA63714.2024.10863833,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10863833,include,,,A,7,,
include_tier_A,FT-0308,Blockchain and Smart Public Procurement Contracts: A Comparative Legal Analysis of Digital Transformation in the Public Sector,2025,Access to Justice in Eastern Europe,openalex,10.33327/ajee-18-8.4-a000137,https://doi.org/10.33327/ajee-18-8.4-a000137,include,,,A,6,,
include_tier_A,FT-0367,"EmbryoTrust: A Blockchain-Based Framework for Trustworthy, Secure, and Ethical In Vitro Fertilization Data Management and Fertility Preservation",2025,Electronics,openalex,10.3390/electronics14234648,https://doi.org/10.3390/electronics14234648,include,,,A,6,,
include_tier_A,FT-0018,SCALHEALTH: Scalable Blockchain Integration for Secure IoT Healthcare Systems,2024,arXiv,arxiv,10.48550/arXiv.2403.08068v1,http://arxiv.org/abs/2403.08068v1,include,,,A,6,,
include_tier_A,FT-0340,Online exam cheating detection and blockchain trusted deposit based on YOLOv12,2025,Scientific Reports,openalex,10.1038/s41598-025-18412-0,https://doi.org/10.1038/s41598-025-18412-0,include,,,A,6,,
include_tier_B,FT-0373,"Blockchain integration in healthcare: a comprehensive investigation of use cases, performance issues, and mitigation strategies",2024,Frontiers in Digital Health,openalex,10.3389/fdgth.2024.1359858,https://doi.org/10.3389/fdgth.2024.1359858,include,,,B,5,,
include_tier_B,FT-0007,Decentralizing Trust: Consortium Blockchains and Hyperledger Fabric Explained,2025,arXiv,arxiv,10.48550/arXiv.2502.06540v1,http://arxiv.org/abs/2502.06540v1,include,,,B,4,,
include_tier_B,FT-0336,Blockchain-Enabled Secure Data Sharing Framework for Healthcare IoT Devices,2025,International Journal of Engineering Science and Information Technology,openalex,10.52088/ijesty.v5i2.1520,https://doi.org/10.52088/ijesty.v5i2.1520,include,,,B,4,,
include_tier_B,FT-0004,Agents for Agents: An Interrogator-Based Secure Framework for Autonomous Internet of Underwater Things,2026,arXiv,arxiv,10.48550/arXiv.2604.04262v1,http://arxiv.org/abs/2604.04262v1,include,,,B,4,,
include_tier_B,FT-0725,A Novel Blockchain-Based Integrity and Reliable Veterinary Clinic Information Management System Using Predictive Analytics for Provisioning of Quality Health Services,2021,IEEE Access,openalex,10.1109/access.2021.3049325,https://doi.org/10.1109/access.2021.3049325,include,,,B,5,,
include_tier_C,FT-0366,A BLOCKCHAIN ENABLED TAMPER PROOF APPROACH FOR ENHANCED MEDICAL DATA INTEGRITY AND ACCESS CONTROL,2025,Journal of Science Engineering Technology and Management Sciences,openalex,10.64771/jsetms.2025.v02.i08.pp602-612,https://doi.org/10.64771/jsetms.2025.v02.i08.pp602-612,include,,,C,2,,
include_tier_C,FT-0009,TINC: Trusted Intelligent NetChain,2025,arXiv,arxiv,10.48550/arXiv.2511.00823v1,http://arxiv.org/abs/2511.00823v1,include,,,C,3,,
include_tier_C,FT-0008,Universally Composable Termination Analysis of Tendermint,2025,arXiv,arxiv,10.48550/arXiv.2510.01097v2,http://arxiv.org/abs/2510.01097v2,include,,,C,2,,
include_tier_C,FT-0565,Modeling Cross-blockchain Process Using Queueing Theory: The Case of Cosmos,2023,,openalex,10.1109/icpads56603.2022.00043,https://doi.org/10.1109/icpads56603.2022.00043,include,,,C,2,,
include_tier_C,FT-0321,A Study on the Interoperable Method of Security Tokens Between Permissioned and Public Blockchains,2025,Korea Industrial Technology Convergence Society,openalex,10.29279/jitr.k.2025.30.1.23,https://doi.org/10.29279/jitr.k.2025.30.1.23,include,,,C,3,,
include_tier_D,FT-0329,BlockArc: A Blockchain Based Smart Contract for Reward System in E-Commerce,2025,ITEGAM- Journal of Engineering and Technology for Industrial Applications (ITEGAM-JETIA),openalex,10.5935/jetia.v11i54.1735,https://doi.org/10.5935/jetia.v11i54.1735,include,,,D,1,,
include_tier_D,FT-0715,The Roadmap to 6G Security and Privacy,2021,IEEE Open Journal of the Communications Society,openalex,10.1109/ojcoms.2021.3078081,https://doi.org/10.1109/ojcoms.2021.3078081,include,,,D,0,,
include_tier_D,FT-0554,Impact of Using the Internet of Medical Things on e-Healthcare Performance: Blockchain Assist in Improving Smart Contract,2023,ClinicoEconomics and Outcomes Research,openalex,10.2147/ceor.s407778,https://doi.org/10.2147/ceor.s407778,include,,,D,1,,
include_tier_D,FT-0352,A self evolving high performance sharded consortium blockchain designed for secure and trusted resource sharing for 6G networks,2025,Scientific Reports,openalex,10.1038/s41598-025-11705-4,https://doi.org/10.1038/s41598-025-11705-4,include,,,D,1,,
