uncertain_id,title,year,venue,priority_bucket,text_source,text_available,text_length,agent_fulltext_decision,agent_reason_code,agent_confidence,agent_rationale,landing_page_url,pdf_url,local_pdf_path
UT-0280,Blockchain drivers to achieve sustainable food security in the Indian context,2021,Annals of Operations Research,downloaded_pdf,local_pdf,yes,66890,include,meets_fulltext_criteria,high,"Full text shows institutional or consortium context, concrete blockchain system design or implementation, and evaluative evidence.",https://doi.org/10.1007/s10479-021-04308-5,https://link.springer.com/content/pdf/10.1007/s10479-021-04308-5.pdf,data/fulltext/ambiguous/UT-0280-blockchain-drivers-to-achieve-sustainable-food-security-in-the-indian-context.pdf
UT-0274,IoT Big Data provenance scheme using blockchain on Hadoop ecosystem,2021,Journal Of Big Data,downloaded_pdf,local_pdf,yes,69839,include,meets_fulltext_criteria,high,"Full text shows institutional or consortium context, concrete blockchain system design or implementation, and evaluative evidence.",https://doi.org/10.1186/s40537-021-00505-y,https://journalofbigdata.springeropen.com/track/pdf/10.1186/s40537-021-00505-y,data/fulltext/ambiguous/UT-0274-iot-big-data-provenance-scheme-using-blockchain-on-hadoop-ecosystem.pdf
UT-0188,A Framework for Standardization of Distributed Ledger Technologies for Interoperable Data Integration and Alignment in Sustainable Smart Cities,2023,Journal of the Knowledge Economy,downloaded_pdf,local_pdf,yes,68273,include,meets_fulltext_criteria,high,"Full text shows institutional or consortium context, concrete blockchain system design or implementation, and evaluative evidence.",https://doi.org/10.1007/s13132-023-01554-9,https://link.springer.com/content/pdf/10.1007/s13132-023-01554-9.pdf,data/fulltext/ambiguous/UT-0188-a-framework-for-standardization-of-distributed-ledger-technologies-for-interoper.pdf
UT-0190,Advancing Healthcare Security: A Cutting-Edge Zero-Trust Blockchain Solution for Protecting Electronic Health Records,2023,HighTech and Innovation Journal,downloaded_pdf,local_pdf,yes,90215,include,meets_fulltext_criteria,high,"Full text shows institutional or consortium context, concrete blockchain system design or implementation, and evaluative evidence.",https://doi.org/10.28991/hij-2023-04-03-012,https://hightechjournal.org/index.php/HIJ/article/download/523/142,data/fulltext/ambiguous/UT-0190-advancing-healthcare-security-a-cutting-edge-zero-trust-blockchain-solution-for-.pdf
UT-0193,An In-depth Security and Performance Investigation in Hyperledger Fabric-configured Distributed Computing Systems,2023,International Journal of Computing and Digital Systems,downloaded_pdf,local_pdf,no,0,needs_human_check,insufficient_fulltext_access,low,Accessible text was too limited to make a defensible full-text decision.,https://doi.org/10.12785/ijcds/130115,https://journal.uob.edu.bh:443/bitstream/123456789/4734/1/IJCDS_130115_1570784479.pdf,data/fulltext/ambiguous/UT-0193-an-in-depth-security-and-performance-investigation-in-hyperledger-fabric-configu.pdf
UT-0007,"DocCert: Nostrification, Document Verification and Authenticity Blockchain Solution",2023,arXiv,downloaded_pdf,local_pdf,yes,39469,include,meets_fulltext_criteria,high,"Full text shows institutional or consortium context, concrete blockchain system design or implementation, and evaluative evidence.",http://arxiv.org/abs/2310.09136v1,https://arxiv.org/pdf/2310.09136v1.pdf,data/fulltext/ambiguous/UT-0007-doccert-nostrification-document-verification-and-authenticity-blockchain-solutio.pdf
UT-0006,EduChain: A Blockchain-based Education Data Management System,2023,arXiv,downloaded_pdf,local_pdf,yes,33738,include,meets_fulltext_criteria,high,"Full text shows institutional or consortium context, concrete blockchain system design or implementation, and evaluative evidence.",http://arxiv.org/abs/2306.00553v1,https://arxiv.org/pdf/2306.00553v1.pdf,data/fulltext/ambiguous/UT-0006-educhain-a-blockchain-based-education-data-management-system.pdf
UT-0161,"Leveraging machine learning and blockchain in E-commerce and beyond: benefits, models, and application",2023,Discover Artificial Intelligence,downloaded_pdf,local_pdf,yes,71931,include,meets_fulltext_criteria,high,"Full text shows institutional or consortium context, concrete blockchain system design or implementation, and evaluative evidence.",https://doi.org/10.1007/s44163-022-00046-0,https://link.springer.com/content/pdf/10.1007/s44163-022-00046-0.pdf,data/fulltext/ambiguous/UT-0161-leveraging-machine-learning-and-blockchain-in-e-commerce-and-beyond-benefits-mod.pdf
UT-0150,"A novel scheme for enhanced content integrity, authentication, and privacy in information centric network using lightweight blockchain-based homomorphic integrity and authentication",2024,International Journal of Power Electronics and Drive Systems/International Journal of Electrical and Computer Engineering,downloaded_pdf,local_pdf,yes,65392,include,meets_fulltext_criteria,high,"Full text shows institutional or consortium context, concrete blockchain system design or implementation, and evaluative evidence.",http://dx.doi.org/10.11591/ijece.v15i1.pp654-668,https://ijece.iaescore.com/index.php/IJECE/article/download/36786/18005,data/fulltext/ambiguous/UT-0150-a-novel-scheme-for-enhanced-content-integrity-authentication-and-privacy-in-info.pdf
UT-0129,"Optimizing blockchain for healthcare IoT: a practical guide to navigating scalability, privacy, and efficiency trade-offs",2024,Indonesian Journal of Electrical Engineering and Computer Science,downloaded_pdf,local_pdf,yes,63928,include,meets_fulltext_criteria,high,"Full text shows institutional or consortium context, concrete blockchain system design or implementation, and evaluative evidence.",https://doi.org/10.11591/ijeecs.v35.i3.pp1773-1785,https://ijeecs.iaescore.com/index.php/IJEECS/article/download/36984/18580,data/fulltext/ambiguous/UT-0129-optimizing-blockchain-for-healthcare-iot-a-practical-guide-to-navigating-scalabi.pdf
