uncertain_id,title,authors,year,venue,doi,url,source,screen_reason,second_pass_recommendation,confidence,rationale,manual_final_decision,manual_notes
UT-0001,QDBFT: A Dynamic Consensus Algorithm for Quantum-Secured Blockchain,Fei Xu; Cheng Ye; Jie OuYang; Ziqiang Wu; Haoze Chen; An Hua; Meifeng Gao; Qiandong Zhang; Minghan Li; Feilong Li; Yajun Miao; Wei Qi,2026,arXiv,10.48550/arXiv.2602.11606v1,http://arxiv.org/abs/2602.11606v1,arxiv,generic_blockchain_institutional,needs_manual,medium,"Mixed signals: some relevant blockchain/implementation cues, but institutional consortium relevance is not decisive from title/abstract alone.",,
UT-0002,Integration Adapter Architecture for Food Traceability Blockchain,André Romão; Francisco Faria; João R. Matos; Emanuel Nunes; Samih Eisa; Miguel L. Pardal,2026,arXiv,10.48550/arXiv.2603.26306v1,http://arxiv.org/abs/2603.26306v1,arxiv,generic_blockchain_institutional,needs_manual,medium,"Mixed signals: some relevant blockchain/implementation cues, but institutional consortium relevance is not decisive from title/abstract alone.",,
UT-0003,Universally Composable Termination Analysis of Tendermint,Zhixin Dong; Xian Xu; Yuhang Zeng; Mingchao Wan; Chunmiao Li,2025,arXiv,10.48550/arXiv.2510.01097v2,http://arxiv.org/abs/2510.01097v2,arxiv,generic_blockchain_institutional,needs_manual,medium,"Mixed signals: some relevant blockchain/implementation cues, but institutional consortium relevance is not decisive from title/abstract alone.",,
UT-0004,TINC: Trusted Intelligent NetChain,Qi Xia; Hu Xia; Isaac Amankona Obiri; Adjei-Arthur Bonsu; Grace Mupoyi Ntuala; Ansu Badjie; Tienin Bole Wilfried; Jiaqin Liu; Lan Ma; Jianbin Gao; Feng Yao,2025,arXiv,10.48550/arXiv.2511.00823v1,http://arxiv.org/abs/2511.00823v1,arxiv,generic_blockchain_institutional,likely_include,medium,Technical evaluation is present and there is at least one meaningful institutional or interoperability signal.,,
UT-0005,Trustworthy Provenance for Big Data Science: a Modular Architecture Leveraging Blockchain in Federated Settings,Nicola Giuseppe Marchioro; Yannis Velegrakis; Valentine Anantharaj; Ian Foster; Sandro Luigi Fiore,2025,arXiv,10.48550/arXiv.2505.24675v1,http://arxiv.org/abs/2505.24675v1,arxiv,tech_with_weak_signal,likely_include,medium,Technical evaluation is present and there is at least one meaningful institutional or interoperability signal.,,
UT-0006,EduChain: A Blockchain-based Education Data Management System,Yihan Liu; Ke Li; Zihao Huang; Bowen Li; Guiyan Wang; Wei Cai,2023,arXiv,10.48550/arXiv.2306.00553v1,http://arxiv.org/abs/2306.00553v1,arxiv,generic_blockchain_institutional,needs_manual,medium,"Mixed signals: some relevant blockchain/implementation cues, but institutional consortium relevance is not decisive from title/abstract alone.",,
UT-0007,"DocCert: Nostrification, Document Verification and Authenticity Blockchain Solution",Monther Aldwairi; Mohamad Badra; Rouba Borghol,2023,arXiv,10.48550/arXiv.2310.09136v1,http://arxiv.org/abs/2310.09136v1,arxiv,tech_with_weak_signal,needs_manual,medium,"Mixed signals: some relevant blockchain/implementation cues, but institutional consortium relevance is not decisive from title/abstract alone.",,
UT-0008,An Enhanced Data Security Framework (FinTechSec++) for FinTechs and CBDCs,R. Kumar; S. K. Garg,2025,2025 Third International Conference on Industry 4.0 Technology (I4Tech),10.1109/I4Tech64670.2025.11277486,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11277486,ieee,generic_blockchain_institutional,needs_manual,medium,"Mixed signals: some relevant blockchain/implementation cues, but institutional consortium relevance is not decisive from title/abstract alone.",,
UT-0009,"A Scalable Blockchain-Enabled Federated Learning Framework for Privacy, Trust, and Efficiency in Edge Environments",G. V; B. S; B. R; D. D. K S,2025,2025 International Conference on Digital Innovations for Sustainable Solutions (ICDISS),10.1109/ICDISS68238.2025.11320699,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11320699,ieee,generic_blockchain_institutional,likely_exclude,high,"Record appears to focus on theory, standards, or generic blockchain use without the target institutional consortium setting.",,
UT-0010,Secure Multi-party Computation Scheme of Shared Energy Storage Index Based on Blockchain Environment,X. Jiang; L. Li; W. Qiu; Y. Pei; Y. Tao; Z. Lin,2021,2021 IEEE/IAS Industrial and Commercial Power System Asia (I&CPS Asia),10.1109/ICPSAsia52756.2021.9621528,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9621528,ieee,generic_blockchain_institutional,likely_exclude,medium,Abstract is dominated by generic or off-scope signals and lacks clear institutional-consortium evidence.,,
UT-0011,IEEE Draft Standard for Layer 2 Framework for Blockchain and Distributed Ledger Technologies (DLT),,2026,"IEEE P3815/D4, November 2025",,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11395480,ieee,no_abstract_title_partial,likely_exclude,medium,No abstract and title points to standard/theory/generic topic without clear institutional consortium context.,,
UT-0012,HealChain: Enhancing Security and Accessibility of Medical Records through Blockchain Technology,B. Krivokapic; S. Tomovic; I. Radusinovic,2024,2024 32nd Telecommunications Forum (TELFOR),10.1109/TELFOR63250.2024.10819172,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10819172,ieee,generic_blockchain_institutional,likely_include,high,Abstract shows institutional or consortium context plus implementation/evaluation signal.,,
UT-0013,The Next Frontier: Blockchain Technology in Cross-Border Payments,M. Bhavana; N. Swapna; A. Y. Reddy; S. Vadlamudi; G. K. Koduru; T. Gandhi,2025,2025 6th International Conference on Electronics and Sustainable Communication Systems (ICESC),10.1109/ICESC65114.2025.11212286,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11212286,ieee,generic_blockchain_institutional,needs_manual,medium,"Mixed signals: some relevant blockchain/implementation cues, but institutional consortium relevance is not decisive from title/abstract alone.",,
UT-0014,Multi-Party Crypto Vault System for Secure Digital Transactions,S. Girme; R. Balapure; P. Patil; S. Patil; S. Sarode,2025,"2025 International Conference on Information, Implementation, and Innovation in Technology (I2ITCON)",10.1109/I2ITCON65200.2025.11210578,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11210578,ieee,generic_blockchain_institutional,likely_exclude,medium,Abstract is dominated by generic or off-scope signals and lacks clear institutional-consortium evidence.,,
UT-0015,CCPP: Cross-Chain Privacy-Preserving for CCLS With Lattice-Based Ring Signature,Y. Zhang; Y. Tang; C. Li; M. Dong; M. Huang; H. Zhang; K. Ota,2026,IEEE Internet of Things Journal,10.1109/JIOT.2026.3652166,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11343886,ieee,generic_blockchain_institutional,likely_include,medium,Technical evaluation is present and there is at least one meaningful institutional or interoperability signal.,,
UT-0016,The Use of Blockchain for Legislative Simplification and Tracking,M. Palmirani; C. Bomprezzi; L. Papalia,2025,2025 Eleventh International Conference on eDemocracy & eGovernment (ICEDEG),10.1109/ICEDEG65568.2025.11081571,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11081571,ieee,generic_blockchain_institutional,likely_include,medium,Technical evaluation is present and there is at least one meaningful institutional or interoperability signal.,,
