candidate_id,title,year,venue,doi,source,fulltext_access,fulltext_source,landing_page_url,pdf_url,text_source,text_length,agent_fulltext_decision,agent_reason_code,agent_confidence,agent_rationale
FT-0002,The Birthmark Standard: Privacy-Preserving Photo Authentication via Hardware Roots of Trust and Consortium Blockchain,2026,arXiv,10.48550/arXiv.2602.04933v1,arxiv,open,arxiv,http://arxiv.org/abs/2602.04933v1,https://arxiv.org/pdf/2602.04933v1.pdf,remote_pdf,85781,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0003,A Blockchain-Based Trust Framework for Resilient Cross-Domain UAV Service Orchestration,2026,arXiv,10.48550/arXiv.2603.00456v1,arxiv,open,arxiv,http://arxiv.org/abs/2603.00456v1,https://arxiv.org/pdf/2603.00456v1.pdf,remote_pdf,37404,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0004,Agents for Agents: An Interrogator-Based Secure Framework for Autonomous Internet of Underwater Things,2026,arXiv,10.48550/arXiv.2604.04262v1,arxiv,open,arxiv,http://arxiv.org/abs/2604.04262v1,https://arxiv.org/pdf/2604.04262v1.pdf,remote_pdf,34268,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0006,Tuning Block Size for Workload Optimization in Consortium Blockchain Networks,2025,arXiv,10.48550/arXiv.2509.03367v1,arxiv,open,arxiv,http://arxiv.org/abs/2509.03367v1,https://arxiv.org/pdf/2509.03367v1.pdf,remote_pdf,12276,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0007,Decentralizing Trust: Consortium Blockchains and Hyperledger Fabric Explained,2025,arXiv,10.48550/arXiv.2502.06540v1,arxiv,open,arxiv,http://arxiv.org/abs/2502.06540v1,https://arxiv.org/pdf/2502.06540v1.pdf,remote_pdf,73511,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0011,Permissioned Blockchain in Advanced Air Mobility: A Performance Analysis for UTM,2025,arXiv,10.48550/arXiv.2511.02171v2,arxiv,open,arxiv,http://arxiv.org/abs/2511.02171v2,https://arxiv.org/pdf/2511.02171v2.pdf,remote_pdf,30818,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0012,Auditable Ledger Snapshot for Non-Repudiable Cross-Blockchain Communication,2025,arXiv,10.48550/arXiv.2511.16560v1,arxiv,open,arxiv,http://arxiv.org/abs/2511.16560v1,https://arxiv.org/pdf/2511.16560v1.pdf,remote_pdf,88125,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0013,Q-PnV: A Quantum Consensus Mechanism for Security Consortium Blockchains,2024,arXiv,10.48550/arXiv.2412.06325v1,arxiv,open,arxiv,http://arxiv.org/abs/2412.06325v1,https://arxiv.org/pdf/2412.06325v1.pdf,remote_pdf,51020,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0014,A Blockchain-Enabled Framework of UAV Coordination for Post-Disaster Networks,2024,arXiv,10.48550/arXiv.2402.15331v1,arxiv,open,arxiv,http://arxiv.org/abs/2402.15331v1,https://arxiv.org/pdf/2402.15331v1.pdf,remote_pdf,23227,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0015,Blockchain-Enhanced UAV Networks for Post-Disaster Communication: A Decentralized Flocking Approach,2024,arXiv,10.48550/arXiv.2403.04796v1,arxiv,open,arxiv,http://arxiv.org/abs/2403.04796v1,https://arxiv.org/pdf/2403.04796v1.pdf,remote_pdf,61916,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0016,DBNode: A Decentralized Storage System for Big Data Storage in Consortium Blockchains,2024,arXiv,10.48550/arXiv.2409.20123v1,arxiv,open,arxiv,http://arxiv.org/abs/2409.20123v1,https://arxiv.org/pdf/2409.20123v1.pdf,remote_pdf,46638,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0017,6GENABLERS-DLT: DLT-based Marketplace for Decentralized Trading of 6G Telco resources,2024,arXiv,10.48550/arXiv.2412.14977v1,arxiv,open,arxiv,http://arxiv.org/abs/2412.14977v1,https://arxiv.org/pdf/2412.14977v1.pdf,remote_pdf,55696,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0018,SCALHEALTH: Scalable Blockchain Integration for Secure IoT Healthcare Systems,2024,arXiv,10.48550/arXiv.2403.08068v1,arxiv,open,arxiv,http://arxiv.org/abs/2403.08068v1,https://arxiv.org/pdf/2403.08068v1.pdf,remote_pdf,39440,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0019,Blockchain in Healthcare: Implementing Hyperledger Fabric for Electronic Health Records at Frere Provincial Hospital,2024,arXiv,10.48550/arXiv.2407.15876v1,arxiv,open,arxiv,http://arxiv.org/abs/2407.15876v1,https://arxiv.org/pdf/2407.15876v1.pdf,remote_pdf,35098,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0020,Straggler Mitigation and Latency Optimization in Blockchain-based Hierarchical Federated Learning,2023,arXiv,10.48550/arXiv.2308.01296v1,arxiv,open,arxiv,http://arxiv.org/abs/2308.01296v1,https://arxiv.org/pdf/2308.01296v1.pdf,remote_pdf,61907,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0022,MIS: A Multi-Identifier Management and Resolution System Based on Consortium Blockchain in Metaverse,2023,arXiv,10.48550/arXiv.2301.03529v2,arxiv,open,arxiv,http://arxiv.org/abs/2301.03529v2,https://arxiv.org/pdf/2301.03529v2.pdf,remote_pdf,88282,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0023,Exploration of Hyperledger Besu in Designing Private Blockchain-based Financial Distribution Systems,2023,arXiv,10.48550/arXiv.2311.08483v1,arxiv,open,arxiv,http://arxiv.org/abs/2311.08483v1,https://arxiv.org/pdf/2311.08483v1.pdf,remote_pdf,44582,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
