priority_bucket,priority_rank,uncertain_id,title,authors,year,venue,source,screen_reason,second_pass_recommendation,confidence,fulltext_access,fulltext_source,landing_page_url,pdf_url,download_status,local_pdf_path,review_action,notes
downloaded_pdf,1,UT-0280,Blockchain drivers to achieve sustainable food security in the Indian context,Vinay Surendra Yadav; A.R. Singh; Rakesh D. Raut; Naoufel Cheikhrouhou,2021,Annals of Operations Research,openalex,generic_blockchain_institutional,needs_manual,medium,open,openalex,https://doi.org/10.1007/s10479-021-04308-5,https://link.springer.com/content/pdf/10.1007/s10479-021-04308-5.pdf,downloaded,data/fulltext/ambiguous/UT-0280-blockchain-drivers-to-achieve-sustainable-food-security-in-the-indian-context.pdf,Read local PDF first,
downloaded_pdf,1,UT-0274,IoT Big Data provenance scheme using blockchain on Hadoop ecosystem,Houshyar Honar Pajooh; Mohammad A. Rashid; Fakhrul Alam; Serge Demidenko,2021,Journal Of Big Data,openalex,tech_with_weak_signal,needs_manual,medium,open,openalex,https://doi.org/10.1186/s40537-021-00505-y,https://journalofbigdata.springeropen.com/track/pdf/10.1186/s40537-021-00505-y,downloaded,data/fulltext/ambiguous/UT-0274-iot-big-data-provenance-scheme-using-blockchain-on-hadoop-ecosystem.pdf,Read local PDF first,
downloaded_pdf,1,UT-0188,A Framework for Standardization of Distributed Ledger Technologies for Interoperable Data Integration and Alignment in Sustainable Smart Cities,Bokolo Anthony; Waribugo Sylva; Josué Kuika Watat; Sanjay Misra,2023,Journal of the Knowledge Economy,openalex,tech_with_weak_signal,needs_manual,medium,open,openalex,https://doi.org/10.1007/s13132-023-01554-9,https://link.springer.com/content/pdf/10.1007/s13132-023-01554-9.pdf,downloaded,data/fulltext/ambiguous/UT-0188-a-framework-for-standardization-of-distributed-ledger-technologies-for-interoper.pdf,Read local PDF first,
downloaded_pdf,1,UT-0190,Advancing Healthcare Security: A Cutting-Edge Zero-Trust Blockchain Solution for Protecting Electronic Health Records,Rihab Benaich; Saida El Mendili; Youssef Gahi,2023,HighTech and Innovation Journal,openalex,generic_blockchain_institutional,needs_manual,medium,open,openalex,https://doi.org/10.28991/hij-2023-04-03-012,https://hightechjournal.org/index.php/HIJ/article/download/523/142,downloaded,data/fulltext/ambiguous/UT-0190-advancing-healthcare-security-a-cutting-edge-zero-trust-blockchain-solution-for-.pdf,Read local PDF first,
downloaded_pdf,1,UT-0193,An In-depth Security and Performance Investigation in Hyperledger Fabric-configured Distributed Computing Systems,Sidharth Quamara; Awadhesh Kumar Singh,2023,International Journal of Computing and Digital Systems,openalex,tech_with_weak_signal,needs_manual,medium,open,openalex,https://doi.org/10.12785/ijcds/130115,https://journal.uob.edu.bh:443/bitstream/123456789/4734/1/IJCDS_130115_1570784479.pdf,downloaded,data/fulltext/ambiguous/UT-0193-an-in-depth-security-and-performance-investigation-in-hyperledger-fabric-configu.pdf,Read local PDF first,
downloaded_pdf,1,UT-0007,"DocCert: Nostrification, Document Verification and Authenticity Blockchain Solution",Monther Aldwairi; Mohamad Badra; Rouba Borghol,2023,arXiv,arxiv,tech_with_weak_signal,needs_manual,medium,open,arxiv,http://arxiv.org/abs/2310.09136v1,https://arxiv.org/pdf/2310.09136v1.pdf,downloaded,data/fulltext/ambiguous/UT-0007-doccert-nostrification-document-verification-and-authenticity-blockchain-solutio.pdf,Read local PDF first,
downloaded_pdf,1,UT-0006,EduChain: A Blockchain-based Education Data Management System,Yihan Liu; Ke Li; Zihao Huang; Bowen Li; Guiyan Wang; Wei Cai,2023,arXiv,arxiv,generic_blockchain_institutional,needs_manual,medium,open,arxiv,http://arxiv.org/abs/2306.00553v1,https://arxiv.org/pdf/2306.00553v1.pdf,downloaded,data/fulltext/ambiguous/UT-0006-educhain-a-blockchain-based-education-data-management-system.pdf,Read local PDF first,
downloaded_pdf,1,UT-0161,"Leveraging machine learning and blockchain in E-commerce and beyond: benefits, models, and application",Hrag Jebamikyous; Menglu Li; Yoga Suhas; Rasha Kashef,2023,Discover Artificial Intelligence,openalex,generic_blockchain_institutional,needs_manual,medium,open,openalex,https://doi.org/10.1007/s44163-022-00046-0,https://link.springer.com/content/pdf/10.1007/s44163-022-00046-0.pdf,downloaded,data/fulltext/ambiguous/UT-0161-leveraging-machine-learning-and-blockchain-in-e-commerce-and-beyond-benefits-mod.pdf,Read local PDF first,
downloaded_pdf,1,UT-0150,"A novel scheme for enhanced content integrity, authentication, and privacy in information centric network using lightweight blockchain-based homomorphic integrity and authentication",Prof. Aravinda Thejas Chandra; Rajashekara Murthy Shivarudraiah; Nagaraja Gadde; Ravi Kumar B N,2024,International Journal of Power Electronics and Drive Systems/International Journal of Electrical and Computer Engineering,openalex,tech_with_weak_signal,needs_manual,medium,open,openalex,http://dx.doi.org/10.11591/ijece.v15i1.pp654-668,https://ijece.iaescore.com/index.php/IJECE/article/download/36786/18005,downloaded,data/fulltext/ambiguous/UT-0150-a-novel-scheme-for-enhanced-content-integrity-authentication-and-privacy-in-info.pdf,Read local PDF first,
downloaded_pdf,1,UT-0129,"Optimizing blockchain for healthcare IoT: a practical guide to navigating scalability, privacy, and efficiency trade-offs",Mwaffaq Abu AlHija; Osama Al-Baik; Abdelrahman H. Hussein; Hikmat A. M. Abdeljaber,2024,Indonesian Journal of Electrical Engineering and Computer Science,openalex,generic_blockchain_institutional,needs_manual,medium,open,openalex,https://doi.org/10.11591/ijeecs.v35.i3.pp1773-1785,https://ijeecs.iaescore.com/index.php/IJEECS/article/download/36984/18580,downloaded,data/fulltext/ambiguous/UT-0129-optimizing-blockchain-for-healthcare-iot-a-practical-guide-to-navigating-scalabi.pdf,Read local PDF first,
