candidate_id,title,year,venue,source,doi,url,construct_score,construct_note,internal_score,internal_note,external_score,external_note,reproducibility_score,reproducibility_note,total_score,tier,abstract_available
FT-0075,A Scalable Distributed Blockchain Framework for Secure Incident Reporting,2025,2025 International Conference on Intelligent Computing and Next Generation Networks (ICNGN),ieee,10.1109/ICNGN67480.2025.11413685,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11413685,2,strong evaluation vocabulary (3 distinct terms),2,peer-reviewed venue + baseline/comparison signal,2,institutional/cross-org context explicit (4 markers),1,implementation mentioned but no public artifact signal,7,A,True
FT-0862,Auditing in the blockchain: a literature review,2025,FRONTIERS IN BLOCKCHAIN,wos,10.3389/fbloc.2025.1549729,WOS:001484210100001,2,strong evaluation vocabulary (3 distinct terms),2,peer-reviewed venue + baseline/comparison signal,2,institutional/cross-org context explicit (2 markers),1,implementation mentioned but no public artifact signal,7,A,True
FT-0083,Experimental Possibilities of Decentralized Health Information System Interoperability Using Blockchain Technology,2024,2024 International Conference on Sustainable Communication Networks and Application (ICSCNA),ieee,10.1109/ICSCNA63714.2024.10863833,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10863833,2,strong evaluation vocabulary (5 distinct terms),2,peer-reviewed venue + baseline/comparison signal,2,institutional/cross-org context explicit (2 markers),1,implementation mentioned but no public artifact signal,7,A,True
FT-0566,Heart disease severity level identification system on Hyperledger consortium network,2023,PeerJ Computer Science,openalex,10.7717/peerj-cs.1626,https://doi.org/10.7717/peerj-cs.1626,2,strong evaluation vocabulary (7 distinct terms),1,peer-reviewed venue OR baseline signal (not both),2,institutional/cross-org context explicit (2 markers),2,explicit artifact/reproducibility signal,7,A,True
FT-0794,Hyperledger blockchain enabled secure medical record management with deep learning-based diagnosis model,2021,Complex & Intelligent Systems,openalex,10.1007/s40747-021-00549-w,https://doi.org/10.1007/s40747-021-00549-w,2,strong evaluation vocabulary (4 distinct terms),1,peer-reviewed venue OR baseline signal (not both),2,institutional/cross-org context explicit (2 markers),2,explicit artifact/reproducibility signal,7,A,True
FT-0182,A Fog and Blockchain Software Architecture for a Global Scale Vaccination Strategy,2022,IEEE Access,ieee,10.1109/ACCESS.2022.3169418,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9761908,2,strong evaluation vocabulary (7 distinct terms),1,peer-reviewed venue OR baseline signal (not both),2,institutional/cross-org context explicit (2 markers),1,implementation mentioned but no public artifact signal,6,A,True
FT-0364,A Hyperledger-Based Secure Framework for Academic Certificate Authentication Using Blockchain,2025,International Journal of Safety and Security Engineering,openalex,10.18280/ijsse.150610,https://doi.org/10.18280/ijsse.150610,2,strong evaluation vocabulary (5 distinct terms),1,peer-reviewed venue OR baseline signal (not both),2,institutional/cross-org context explicit (2 markers),1,implementation mentioned but no public artifact signal,6,A,True
FT-0582,A survey of application research based on blockchain smart contract,2022,Wireless Networks,openalex,10.1007/s11276-021-02874-x,https://doi.org/10.1007/s11276-021-02874-x,2,strong evaluation vocabulary (3 distinct terms),1,peer-reviewed venue OR baseline signal (not both),2,institutional/cross-org context explicit (2 markers),1,implementation mentioned but no public artifact signal,6,A,True
FT-0842,Anonymous voting using distributed ledger-assisted secure multi-party computation,2024,APPLIED NETWORK SCIENCE,wos,10.1007/s41109-024-00650-2,WOS:001299844000002,2,strong evaluation vocabulary (3 distinct terms),1,peer-reviewed venue OR baseline signal (not both),1,single institutional/domain marker,2,explicit artifact/reproducibility signal,6,A,True
FT-0615,BIoMT: A State-of-the-Art Consortium Serverless Network Architecture for Healthcare System Using Blockchain Smart Contracts,2022,IEEE Access,openalex,10.1109/access.2022.3194195,https://doi.org/10.1109/access.2022.3194195,2,strong evaluation vocabulary (3 distinct terms),1,peer-reviewed venue OR baseline signal (not both),2,institutional/cross-org context explicit (2 markers),1,implementation mentioned but no public artifact signal,6,A,True
