study_id,year,tier,artifact_code,artifact_data,artifact_config,reproducibility_notes,operational_complexity,has_evaluation,has_metrics,platform_stack,domain
ST-0001,2026,C,no,no,no,,,no,no,not specified,unclassified
ST-0002,2026,B,no,no,no,no reproducibility signals in full text,overhead; Scalable; Scalability; complexity,yes,yes,Hyperledger Fabric; Polkadot/Substrate; Bitcoin,finance/banking; supply chain; government/public sector; identity/PKI; education
ST-0003,2026,C,no,no,no,,,no,no,not specified,supply chain; energy/utilities; identity; education
ST-0004,2026,B,no,no,no,no reproducibility signals in full text,overhead; scalability; scalable; Overhead; Scalability,yes,yes,Hyperledger Fabric,healthcare; finance/banking; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility
ST-0005,2026,C,no,no,no,,,no,no,not specified,supply chain
ST-0006,2025,B,yes,no,yes,signals found: code available; config available,overhead,yes,yes,Hyperledger Fabric; Bitcoin,healthcare; supply chain; energy/utilities; identity/PKI; education
ST-0007,2025,B,yes,no,yes,signals found: code available; config available,scalability; Scalability; scalable; administration; maintenance,yes,yes,Hyperledger Fabric; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI
ST-0008,2025,C,no,no,no,,,no,no,Cosmos,unclassified
ST-0009,2025,C,no,no,no,,,no,no,not specified,unclassified
ST-0010,2025,B,no,no,no,,,no,no,not specified,supply chain
ST-0011,2025,B,yes,no,yes,signals found: code available; config available,scalability; scalable; Administration,yes,yes,Hyperledger Fabric; Hyperledger Besu; Ethereum,finance/banking; supply chain; government/public sector; identity/PKI; IoT/edge/CPS; education; transportation/mobility
ST-0012,2025,C,no,no,no,,,no,no,Hyperledger Fabric,IoT/edge
ST-0013,2024,C,no,no,no,,,no,no,not specified,unclassified
ST-0014,2024,D,no,no,no,,,no,no,not specified,unclassified
ST-0015,2024,C,no,no,no,,,no,no,not specified,unclassified
ST-0016,2024,C,no,no,no,,,no,no,Hyperledger Fabric,IoT/edge
ST-0017,2024,C,no,no,no,,,no,no,not specified,government/public sector; IoT/edge
ST-0018,2024,A,yes,no,no,signals found: code available,Scalable; scalability; Scalability,yes,yes,Hyperledger Fabric; Hyperledger Besu; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; transportation/mobility
